"","ind","ref","param","RSF_estimate"
"Prey_predicted169","Fish72","Ref","Prey_predicted",-1.10436633898576
"Prey_predicted170","Fish72","Ref","Prey_predicted",-0.464073212517334
"Prey_predicted171","Fish72","Ref","Prey_predicted",0.243054990048275
"Prey_predicted172","Fish72","Ref","Prey_predicted",0.599358814436246
"Prey_predicted173","Fish72","Ref","Prey_predicted",0.0130475470971269
"Prey_predicted174","Fish72","Ref","Prey_predicted",1.15880890740696
"Prey_predicted175","Fish72","Ref","Prey_predicted",0.196686001942125
"Prey_predicted176","Fish72","Ref","Prey_predicted",-0.123441844365094
"Prey_predicted177","Fish72","Ref","Prey_predicted",-0.383688346482505
"Prey_predicted178","Fish72","Ref","Prey_predicted",-0.902161329267347
"Prey_predicted179","Fish72","Ref","Prey_predicted",0.0892179228692634
"Prey_predicted180","Fish72","Ref","Prey_predicted",1.01679926243527
"Prey_predicted181","Fish72","Ref","Prey_predicted",1.18239135226033
"Prey_predicted182","Fish72","Ref","Prey_predicted",0.843519524737588
"Prey_predicted183","Fish72","Ref","Prey_predicted",-1.12418049156464
"Prey_predicted184","Fish72","Ref","Prey_predicted",-0.286112121214587
"Prey_predicted185","Fish72","Ref","Prey_predicted",0.720915446841173
"Prey_predicted186","Fish72","Ref","Prey_predicted",-1.18133156999918
"Prey_predicted187","Fish72","Ref","Prey_predicted",1.22661783388462
"Prey_predicted188","Fish72","Ref","Prey_predicted",0.323216950996567
"Prey_predicted189","Fish72","Ref","Prey_predicted",-0.87993451479738
"Prey_predicted190","Fish72","Ref","Prey_predicted",0.0933014016473781
"Prey_predicted191","Fish72","Ref","Prey_predicted",0.639463423547921
"Prey_predicted192","Fish72","Ref","Prey_predicted",-0.241833838975775
"Prey_predicted193","Fish72","Ref","Prey_predicted",-1.4394417177361
"Prey_predicted194","Fish72","Ref","Prey_predicted",-0.681858510918189
"Prey_predicted195","Fish72","Ref","Prey_predicted",-0.852676906760416
"Prey_predicted196","Fish72","Ref","Prey_predicted",-0.37319380882212
"Prey_predicted197","Fish72","Ref","Prey_predicted",1.73722405754212
"Prey_predicted198","Fish72","Ref","Prey_predicted",1.8523879924166
"Prey_predicted199","Fish72","Ref","Prey_predicted",0.379173873427447
"Prey_predicted200","Fish72","Ref","Prey_predicted",-1.00175608349718
"Prey_predicted201","Fish72","Ref","Prey_predicted",1.14274005748691
"Prey_predicted202","Fish72","Ref","Prey_predicted",-0.0400038356389902
"Prey_predicted203","Fish72","Ref","Prey_predicted",0.195215488134956
"Prey_predicted204","Fish72","Ref","Prey_predicted",0.408018089500851
"Prey_predicted205","Fish72","Ref","Prey_predicted",-0.558585022162715
"Prey_predicted206","Fish72","Ref","Prey_predicted",-1.50665898930599
"Prey_predicted207","Fish72","Ref","Prey_predicted",-1.42092576612019
"Prey_predicted208","Fish72","Ref","Prey_predicted",1.68668103824862
"Prey_predicted209","Fish72","Ref","Prey_predicted",0.212384409450292
"Prey_predicted210","Fish72","Ref","Prey_predicted",0.0252309290528237
"Prey_predicted211","Fish72","Ref","Prey_predicted",0.907951982500966
"Prey_predicted212","Fish72","Ref","Prey_predicted",-0.867493654578532
"Prey_predicted213","Fish72","Ref","Prey_predicted",-1.41434388993733
"Prey_predicted214","Fish72","Ref","Prey_predicted",-0.683280714292106
"Prey_predicted215","Fish72","Ref","Prey_predicted",0.0675993120400704
"Prey_predicted216","Fish72","Ref","Prey_predicted",-0.169514428309043
"Prey_predicted217","Fish72","Ref","Prey_predicted",-0.0419658698375863
"Prey_predicted218","Fish72","Ref","Prey_predicted",-0.655521485087649
"Prey_predicted219","Fish72","Ref","Prey_predicted",-1.51817952393323
"Prey_predicted220","Fish72","Ref","Prey_predicted",2.11966961335354
"Prey_predicted221","Fish72","Ref","Prey_predicted",0.0212916228895981
"Prey_predicted222","Fish72","Ref","Prey_predicted",-0.220586487326395
"Prey_predicted223","Fish72","Ref","Prey_predicted",0.396936208410434
"Prey_predicted224","Fish72","Ref","Prey_predicted",-1.31872372341586
"Prey_predicted225","Fish72","Ref","Prey_predicted",-0.74408037345657
"Prey_predicted226","Fish72","Ref","Prey_predicted",0.69704596582264
"Prey_predicted227","Fish72","Ref","Prey_predicted",-1.40418383595214
"Prey_predicted228","Fish72","Ref","Prey_predicted",0.942652989415685
"Prey_predicted229","Fish72","Ref","Prey_predicted",0.142824314150255
"Prey_predicted230","Fish72","Ref","Prey_predicted",0.0935387688585394
"Prey_predicted231","Fish72","Ref","Prey_predicted",-0.364957293672925
